"","dateTime","day_of_week","month","season"
"446",2015-03-22,"Sunday",3,"spring"
"447",2015-03-23,"Monday",3,"spring"
"448",2015-03-24,"Tuesday",3,"spring"
"449",2015-03-25,"Wednesday",3,"spring"
"450",2015-03-26,"Thursday",3,"spring"
"451",2015-03-27,"Friday",3,"spring"
"452",2015-03-28,"Saturday",3,"spring"
"453",2015-03-29,"Sunday",3,"spring"
"454",2015-03-30,"Monday",3,"spring"
"455",2015-03-31,"Tuesday",3,"spring"
"456",2015-04-01,"Wednesday",4,"spring"
"457",2015-04-02,"Thursday",4,"spring"
"458",2015-04-03,"Friday",4,"spring"
"459",2015-04-04,"Saturday",4,"spring"
"460",2015-04-05,"Sunday",4,"spring"
"461",2015-04-06,"Monday",4,"spring"
"462",2015-04-07,"Tuesday",4,"spring"
"463",2015-04-08,"Wednesday",4,"spring"
"464",2015-04-09,"Thursday",4,"spring"
"465",2015-04-10,"Friday",4,"spring"
"466",2015-04-11,"Saturday",4,"spring"
"467",2015-04-12,"Sunday",4,"spring"
"468",2015-04-13,"Monday",4,"spring"
"469",2015-04-14,"Tuesday",4,"spring"
"470",2015-04-15,"Wednesday",4,"spring"
"471",2015-04-16,"Thursday",4,"spring"
"472",2015-04-17,"Friday",4,"spring"
"473",2015-04-18,"Saturday",4,"spring"
"474",2015-04-19,"Sunday",4,"spring"
"475",2015-04-20,"Monday",4,"spring"
"476",2015-04-21,"Tuesday",4,"spring"
"477",2015-04-22,"Wednesday",4,"spring"
"478",2015-04-23,"Thursday",4,"spring"
"479",2015-04-24,"Friday",4,"spring"
"480",2015-04-25,"Saturday",4,"spring"
"481",2015-04-26,"Sunday",4,"spring"
"482",2015-04-27,"Monday",4,"spring"
"483",2015-04-28,"Tuesday",4,"spring"
"484",2015-04-29,"Wednesday",4,"spring"
"485",2015-04-30,"Thursday",4,"spring"
"486",2015-05-01,"Friday",5,"summer"
"487",2015-05-02,"Saturday",5,"summer"
"488",2015-05-03,"Sunday",5,"summer"
"489",2015-05-04,"Monday",5,"summer"
"490",2015-05-05,"Tuesday",5,"summer"
"491",2015-05-06,"Wednesday",5,"summer"
"492",2015-05-07,"Thursday",5,"summer"
"493",2015-05-08,"Friday",5,"summer"
"494",2015-05-09,"Saturday",5,"summer"
"495",2015-05-10,"Sunday",5,"summer"
"496",2015-05-11,"Monday",5,"summer"
"497",2015-05-12,"Tuesday",5,"summer"
